,x1,x2,x3,x4,x5,bf,bs,mean_es,mean_true,var_true,tau,tau_on,tau_off,tau_on_idu,tau_off_idu,bs_idu,bf_idu,x5_idu,mean_true_idu,tau_idu,var_true_idu,tau_distance,bs_distance,bf_distance,tau_off_distance,tau_on_distance,var_distance,mean_distance
FEZ2,8.21136289651182,9.97237376680806,14.9927406280959,9.70951127924248,4.90311488592709,0.422379286522559,4.03727904640333,1.70526304311232,2.07534246575342,2.99980269462766,0.42327020966,0.823411064258585,1.54412927663498,8.52306781002046,4.47374163369926,16.9456021076074,0.0769419605888903,1.98820453917834,1.67816091954023,0.844058489190333,2.73975151152747,-0.994136298579433,-3.19728285135596,0.817836804398359,-1.89725847530628,-9.35092699136219,0.0866894291300922,0.191381207086226
MCFD2,1.25988597619448,9.98784142713889,1.75806204905025,9.95752513196927,2.32896136550925,3.30362173809388,0.293779770625011,0.97053723644902,1.20547945205479,1.6202717176842,0.517603885537709,0.12614196825063,0.176556124714753,67.6471282215044,22.8440801375347,113.054007423629,0.0110507972888629,1.67123143873076,1.73563218390805,1.03853490527093,3.31698890439174,-1.00642795444252,-383.825705265918,0.996654944734914,-128.387072662826,-535.277728654886,-1.04718064765865,-0.43978578892372
CALM2,1.0076351447361,8.6212491960021,1.8839826639103,5.52980241519788,19.9273332522349,2.18543747488578,2.32906866154983,5.09003393453307,5.39178082191781,10.378533175489,0.270572120898972,0.116878090613987,0.340696198969503,3.71135576426703,0.630368441528038,30.8669604019648,0.230323243163456,8.31689613244632,7.01149425287356,0.843042180786645,9.68772839014019,-2.11577622256738,-12.2529198952104,0.894610005634916,-0.850236202912449,-30.754075933055,0.066560926642343,-0.300404167834782
RPS27A,14.6849396336393,9.84279731886466,3.89057212327828,9.99944413134484,14.74898375249,0.531624586291954,22.0047136038991,11.6982467661458,11.7082191780822,15.918862393596,0.793832264958971,1.49194778251649,0.389078840000982,1.03566829830944,0.507815085666992,16.8381005595468,0.647885173485786,16.2581982928629,11.0287356321839,0.678349189345621,17.0107301840409,0.145475411760088,0.234795741374104,-0.218689259661112,-0.305172714264568,0.305828052130237,-0.0685895614553551,0.0580347476899201
CCT4,14.8591492598487,1.85845895214587,7.90263127784768,9.98706832529393,0.941363221940814,0.113808360637663,7.52658895500464,0.85658875016262,1.04794520547945,1.14035928368754,1.11322089184544,7.99541428810766,0.791286393608917,0.10732641134009,2.11846874015039,1.55897148111949,0.4492776432415,14.5255157761635,0.931034482758621,0.0640964835332357,1.30157464620291,0.942422493143315,0.792871446755056,-2.9476681741501,-1.6772465156243,0.98657650404686,-0.141372429568029,0.111561866125761
MDH1,1.00263523169673,9.99266258130018,5.98011074356868,6.18269852586558,5.99594646238505,0.936706500115431,0.601616148012916,0.563537756418105,0.947945205479452,1.16601086119097,0.158097676726483,0.100337144733879,0.967233113267715,0.101119996863423,1.87907924574338,3.91326901710993,0.504999688154393,38.699259676554,2.10344827586207,0.054353708402759,4.34761809846522,0.656201725868536,-5.50459438303827,0.460877352626291,-0.94273667843636,-0.00780221653327532,-2.7286257299735,-1.21895555112617
SNRPG,4.65064363832623,0.177898913672288,2.68596604729026,1.41838425050425,4.41557515074816,0.0356687600743174,115.432219682954,4.11732414871717,4.12876712328767,5.64320423924686,0.935046281023686,26.142057544507,1.89368011266014,0.203554242984359,0.925037652105287,5.35531470728475,0.886059880769007,26.3090301079907,4.97701149425287,0.189175027502866,8.68154939871105,0.797683781709973,0.953606413166154,-23.8413423657807,0.511513245599943,0.99221353397154,-0.538407796466656,-0.205447375847577
FAM136A,6.98974256598331,1.6746466587701,14.9942572889287,9.00155065274158,1.66119579867112,0.171244526574555,6.93360054408836,1.18734114262949,1.4041095890411,1.76651258056636,0.845240272196885,4.17386111235951,1.66574158912964,1.1776759195326,2.49128142983545,3.32745590520816,0.272556997745488,2.82544276402355,1.09770114942529,0.388505887785925,1.56843399109694,0.540360415179757,0.520096970679228,-0.591624580344323,-0.495598984916483,0.717844967086878,0.112129736096143,0.218222596019064
BOLA3,14.6229421832208,3.21348311586998,12.857755910772,9.98259110124206,1.45878603809137,0.171276460552826,6.6382000849333,1.13696741498884,1.37534246575342,1.55714151492944,0.942799306986021,4.55049603684069,1.28801788837892,148.36032230679,19.7445334925483,181.836224265563,0.00594866814075656,1.22563918329558,1.55172413793103,1.2660529779724,2.07534383097468,-0.342865834320322,-26.3923988338761,0.965268618223683,-14.3293938466945,-31.6031098820149,-0.332790765050488,-0.128245638137107
TMSB10,1.38025217817722,7.1186371486844,1.00010967144373,7.47050813209238,20.8666181631681,3.05094647418032,4.04588611125204,12.3437819660596,11.9616438356164,21.290707856512,0.573243049835938,0.193892756344844,0.133874383610852,0.27988527712079,0.677605215267301,10.8352488566713,1.04439679344062,38.7131790858549,12.0804597701149,0.312050316077734,37.1495581688924,0.455640471930637,-1.67809042536746,0.657681050035069,-4.06150016897163,-0.443505587300054,-0.74487191404159,-0.00993307743746075
